T,Row ID,ROW_ORDER,PILOT_NAME,PRODUCT,LAYER,OPERATION,SPC_MEASURED_LAYER,SPC_STRUCTURE,TARGET,SCALE,_PROCESS,COMMENTS
,1,0,*,1L80CV   R,va0f,270387,VA0,NESTVIA_HM,0.24,0,1280 KARC,
,2,0,*,1L280V   C,va0f,270387,VA0,NESTVIA_HM,0.24,0,1280 KARC,
,3,0,*,1L802V   Z,va0f,270387,VA0,NESTVIA_HM,0.21,0,1280 KARC,
,4,0,*,1X80CV   R,va0f,270387,VA0,NESTVIA_HM,0.21,0,1280 KARC,
,5,0,*,1X80RV   L,va0f,270387,VA0,NESTVIA_HM,0.21,0,1280 KARC,
,6,0,*,1X80RV   M,va0f,270387,VA0,NESTVIA_HM,0.22,0,1280 KARC,
,7,0,*,1X280V A C,va0f,270387,VA0,NESTVIA_HM,0.2,0,1280 KARC,
,8,0,*,1X280V   C,va0f,270387,VA0,NESTVIA_HM,0.24,0,1280 KARC,
,9,0,*,1X802V   B,va0f,270387,VA0,NESTVIA_HM,0.21,0,1280 KARC,
,10,0,*,1X802V   Z,va0f,270387,VA0,NESTVIA_HM,0.2,0,1280 KARC,
,11,0,*,1XC80V   A,va0f,270387,VA0,NESTVIA_HM,0.25,0,1280 KARC,
